Date,Cost
01/01/1994,109.2
01/02/1994,109.3
01/03/1994,109.4
01/04/1994,110.3
01/05/1994,110.1
01/06/1994,110.6
01/07/1994,110.7
01/08/1994,110.9
01/09/1994,112.2
01/10/1994,112.7
01/11/1994,112.9
01/12/1994,113.1
01/01/1995,113.5
01/02/1995,114.1
01/03/1995,114.1
01/04/1995,114.1
01/05/1995,114.1
01/06/1995,114.1
01/07/1995,114.5
01/08/1995,114.5
01/09/1995,115.7
01/10/1995,115.8
01/11/1995,115.9
01/12/1995,115.9
01/01/1996,115.9
01/02/1996,115.7
01/03/1996,115.9
01/04/1996,115.9
01/05/1996,115.9
01/06/1996,116
01/07/1996,116
01/08/1996,116
01/09/1996,116.9
01/10/1996,117.1
01/11/1996,117.2
01/12/1996,117.2
01/01/1997,118
01/02/1997,118.5
01/03/1997,118.8
01/04/1997,119.8
01/05/1997,119.8
01/06/1997,119.9
01/07/1997,120.8
01/08/1997,121
01/09/1997,121.5
01/10/1997,122
01/11/1997,122.6
01/12/1997,122.6
01/01/1998,122.9
01/02/1998,123.1
01/03/1998,123.8
01/04/1998,123.8
01/05/1998,124.5
01/06/1998,124.5
01/07/1998,125.7
01/08/1998,125.7
01/09/1998,126
01/10/1998,126.2
01/11/1998,126.2
01/12/1998,126.1
01/01/1999,126.3
01/02/1999,126.4
01/03/1999,126.5
01/04/1999,130.5
01/05/1999,130.5
01/06/1999,130.5
01/07/1999,131.5
01/08/1999,131.5
01/09/1999,134.1
01/10/1999,134.7
01/11/1999,134.8
01/12/1999,134.9
01/01/2000,135.8
01/02/2000,136.1
01/03/2000,136.4
01/04/2000,136.5
01/05/2000,136.8
01/06/2000,136.9
01/07/2000,137.2
01/08/2000,137.2
01/09/2000,137.7
01/10/2000,153.8
01/11/2000,153.8
01/12/2000,153.9
01/01/2001,154.3
01/02/2001,154.7
01/03/2001,155.6
01/04/2001,157.4
01/05/2001,157.6
01/06/2001,157.7
01/07/2001,161.1
01/08/2001,165.9
01/09/2001,166
01/10/2001,169.3
01/11/2001,169.4
01/12/2001,169.3
01/01/2002,169.9
01/02/2002,170
01/03/2002,169.5
01/04/2002,169.5
01/05/2002,169.5
01/06/2002,169.7
01/07/2002,173.8
01/08/2002,173.9
01/09/2002,173.9
01/10/2002,173.9
01/11/2002,174
01/12/2002,174.1
01/01/2003,174.2
01/02/2003,174.5
01/03/2003,174.5
01/04/2003,177.3
01/05/2003,177.3
01/06/2003,177.4
01/07/2003,177.1
01/08/2003,177.2
01/09/2003,177.2
01/10/2003,177.2
01/11/2003,177.2
01/12/2003,177.2
01/01/2004,179.6
01/02/2004,179.7
01/03/2004,179.9
01/04/2004,179.9
01/05/2004,180
01/06/2004,180.2
01/07/2004,181.1
01/08/2004,182.2
01/09/2004,182.2
01/10/2004,183.9
01/11/2004,184.2
01/12/2004,184.2
01/01/2005,184.7
01/02/2005,184.8
01/03/2005,184.9
01/04/2005,186.5
01/05/2005,186.6
01/06/2005,186.6
01/07/2005,186.7
01/08/2005,186.9
01/09/2005,186.9
01/10/2005,189.5
01/11/2005,189.4
01/12/2005,189.7
01/01/2006,189.9
01/02/2006,190.1
01/03/2006,190.6
01/04/2006,194
01/05/2006,194.2
01/06/2006,194.3
01/07/2006,194.4
01/08/2006,194.5
01/09/2006,194.6
01/10/2006,197.7
01/11/2006,198
01/12/2006,198.1
01/01/2007,198.8
01/02/2007,198.8
01/03/2007,199.4
01/04/2007,200
01/05/2007,200.1
01/06/2007,200.3
01/07/2007,203.7
01/08/2007,203.6
01/09/2007,203.7
01/10/2007,203.8
01/11/2007,203.8
01/12/2007,204.2
01/01/2008,207.4
01/02/2008,208.2
01/03/2008,208.6
01/04/2008,208.9
01/05/2008,209.4
01/06/2008,209.9
01/07/2008,210.4
01/08/2008,210.4
01/09/2008,210.5
01/10/2008,210.1
01/11/2008,209.9
01/12/2008,209.3
01/01/2009,208
01/02/2009,207.3
01/03/2009,206.8
01/04/2009,206.5
01/05/2009,206.5
01/06/2009,206
01/07/2009,206
01/08/2009,206
01/09/2009,206.1
01/10/2009,206.2
01/11/2009,206.2
01/12/2009,206.2
01/01/2010,206.9
01/02/2010,207.2
01/03/2010,207.3
01/04/2010,207.9
01/05/2010,208.7
01/06/2010,208.6
01/07/2010,209.4
01/08/2010,209.6
01/09/2010,209.5
01/10/2010,209.5
01/11/2010,209.5
01/12/2010,209.8
01/01/2011,210.2
01/02/2011,210.5
01/03/2011,200.7
01/04/2011,201
01/05/2011,201.2
01/06/2011,201.4
01/07/2011,201.5
01/08/2011,201.9
01/09/2011,202.1
01/10/2011,202
01/11/2011,202.2
01/12/2011,202.3
01/01/2012,202.5
01/02/2012,202.6
01/03/2012,202.7
01/04/2012,203.4
01/05/2012,203.6
01/06/2012,203.6
01/07/2012,204.1
01/08/2012,204.1
01/09/2012,203.7
01/10/2012,203.8
01/11/2012,204
01/12/2012,204.2
01/01/2013,204.1
01/02/2013,204.2
01/03/2013,204.3
01/04/2013,204.5
01/05/2013,204.5
01/06/2013,204.8
01/07/2013,204.8
01/08/2013,205
01/09/2013,205.1
01/10/2013,205.4
01/11/2013,205.4
01/12/2013,204.7
01/01/2014,204.9
01/02/2014,205.4
01/03/2014,205.4
01/04/2014,205.6
01/05/2014,205.9
01/06/2014,206
01/07/2014,206
01/08/2014,206.6
01/09/2014,206.4
01/10/2014,206.7
01/11/2014,206.5
01/12/2014,206.2
01/01/2015,206.2
01/02/2015,206
01/03/2015,206.5
01/04/2015,206.8
01/05/2015,207.2
01/06/2015,207.6
01/07/2015,207.4
01/08/2015,207.4
01/09/2015,207.3
01/10/2015,207.2
01/11/2015,207.6
01/12/2015,207.4
